scripts/kconfig/conf  --silentoldconfig Kconfig
  LD      drivers/soc/built-in.o
  LD      drivers/sound/built-in.o
  LD      drivers/spmi/built-in.o
  LD      drivers/sysreset/built-in.o
  LD      drivers/thermal/built-in.o
  LD      drivers/timer/built-in.o
  LD      drivers/tpm/built-in.o
  LD      drivers/twserial/built-in.o
  CC      drivers/video/cfb_console.o
  CC      drivers/video/sunxi_display.o
  CC      drivers/video/videomodes.o
  LD      drivers/video/bridge/built-in.o
  LD      drivers/video/built-in.o
  LD      drivers/watchdog/built-in.o
  LD      drivers/built-in.o
  LD      drivers/dma/built-in.o
  CC      drivers/gpio/gpio-uclass.o
  CC      drivers/gpio/sunxi_gpio.o
  LD      drivers/gpio/built-in.o
  LD      drivers/i2c/built-in.o
  CC      drivers/mmc/mmc_legacy.o
  CC      drivers/mmc/mmc.o
  CC      drivers/mmc/sunxi_mmc.o
  CC      drivers/mmc/mmc_write.o
  LD      drivers/mmc/built-in.o
  LD      drivers/mtd/built-in.o
  LD      drivers/mtd/onenand/built-in.o
  LD      drivers/mtd/spi/built-in.o
  LD      drivers/net/built-in.o
  LD      drivers/net/phy/built-in.o
  LD      drivers/pci/built-in.o
  LD      drivers/power/built-in.o
  LD      drivers/power/battery/built-in.o
  LD      drivers/power/domain/built-in.o
  LD      drivers/power/fuel_gauge/built-in.o
  LD      drivers/power/mfd/built-in.o
  LD      drivers/power/pmic/built-in.o
  LD      drivers/power/regulator/built-in.o
  CC      drivers/serial/serial-uclass.o
  CC      drivers/serial/ns16550.o
  LD      drivers/serial/built-in.o
  CC      drivers/spi/spi.o
  LD      drivers/spi/built-in.o
  CC      drivers/usb/common/common.o
  LD      drivers/usb/common/built-in.o
  LD      drivers/usb/dwc3/built-in.o
  LD      drivers/usb/emul/built-in.o
  LD      drivers/usb/eth/built-in.o
  LD      drivers/usb/gadget/built-in.o
  LD      drivers/usb/gadget/udc/built-in.o
  CC      drivers/usb/host/usb-uclass.o
  LD      drivers/usb/host/built-in.o
  LD      drivers/usb/musb-new/built-in.o
  LD      drivers/usb/musb/built-in.o
  LD      drivers/usb/phy/built-in.o
  LD      drivers/usb/ulpi/built-in.o
  CC      fs/fs.o
  CC      fs/ext4/ext4fs.o
  CC      fs/ext4/ext4_common.o
  CC      fs/ext4/dev.o
  LD      fs/ext4/built-in.o
  CC      fs/fat/fat_write.o
  CC      fs/fat/file.o
  LD      fs/fat/built-in.o
  LD      fs/built-in.o
  CC      lib/efi_loader/efi_image_loader.o
  CC      lib/efi_loader/efi_boottime.o
  CC      lib/efi_loader/efi_runtime.o
  CC      lib/efi_loader/efi_console.o
  CC      lib/efi_loader/efi_memory.o
  CC      lib/efi_loader/efi_disk.o
  CC      lib/efi_loader/efi_net.o
  CC      lib/efi_loader/efi_smbios.o
  LD      lib/efi_loader/built-in.o
  CC      lib/efi_loader/helloworld.o
arm-linux-gnueabihf-ld.bfd -nostdlib -znocombreloc -T ./arch/arm/lib/elf_arm_efi.lds -shared -Bsymbolic \
	lib/efi_loader/helloworld.o arch/arm/lib/crt0_arm_efi.o arch/arm/lib/reloc_arm_efi.o arch/arm/lib/elf_arm_efi.lds -o lib/efi_loader/helloworld.so
arm-linux-gnueabihf-objcopy -j .header -j .text -j .sdata -j .data -j .dynamic \
	-j .dynsym  -j .rel* -j .rela* -j .reloc \
	-O binary lib/efi_loader/helloworld.so lib/efi_loader/helloworld.efi
  CC      lib/libfdt/fdt.o
  CC      lib/libfdt/fdt_ro.o
  CC      lib/libfdt/fdt_rw.o
  CC      lib/libfdt/fdt_strerror.o
  CC      lib/libfdt/fdt_sw.o
  CC      lib/libfdt/fdt_wip.o
  CC      lib/libfdt/fdt_empty_tree.o
  CC      lib/libfdt/fdt_addresses.o
  CC      lib/libfdt/fdt_region.o
  CC      lib/libfdt/fdt_overlay.o
  LD      lib/libfdt/built-in.o
  CC      lib/zlib/zlib.o
  LD      lib/zlib/built-in.o
  CC      lib/crc7.o
  CC      lib/crc8.o
  CC      lib/crc16.o
  CC      lib/gunzip.o
  CC      lib/smbios.o
  CC      lib/initcall.o
  CC      lib/lmb.o
  CC      lib/ldiv.o
  CC      lib/net_utils.o
  CC      lib/qsort.o
  CC      lib/rc4.o
  CC      lib/list_sort.o
  CC      lib/fdtdec_common.o
  CC      lib/fdtdec.o
  CC      lib/hashtable.o
  CC      lib/errno.o
  CC      lib/display_options.o
  CC      lib/crc32.o
  CC      lib/ctype.o
  CC      lib/div64.o
  CC      lib/hang.o
  CC      lib/linux_compat.o
  CC      lib/linux_string.o
  CC      lib/membuff.o
  CC      lib/slre.o
  CC      lib/string.o
  CC      lib/tables_csum.o
  CC      lib/time.o
  CC      lib/uuid.o
  CC      lib/vsprintf.o
  CC      lib/panic.o
  CC      lib/strto.o
  CC      lib/strmhz.o
  LD      lib/built-in.o
  CC      net/checksum.o
  CC      net/arp.o
  CC      net/bootp.o
  CC      net/eth-uclass.o
  CC      net/eth_common.o
  CC      net/net.o
  CC      net/nfs.o
  CC      net/ping.o
  CC      net/tftp.o
  LD      net/built-in.o
  LD      test/built-in.o
  CC      test/dm/cmd_dm.o
  LD      test/dm/built-in.o
  CC      examples/standalone/stubs.o
  LD      examples/standalone/libstubs.o
  CC      examples/standalone/hello_world.o
  LD      examples/standalone/hello_world
  OBJCOPY examples/standalone/hello_world.srec
  OBJCOPY examples/standalone/hello_world.bin
  LDS     u-boot.lds
  LD      u-boot
  DTC     arch/arm/dts/sun8i-v3s-licheepi-zero.dtb
  SHIPPED dts/dt.dtb
  CC      spl/arch/arm/mach-sunxi/board.o
  CC      spl/arch/arm/mach-sunxi/clock.o
  CC      spl/arch/arm/mach-sunxi/cpu_info.o
  CC      spl/arch/arm/mach-sunxi/dram_helpers.o
  CC      spl/arch/arm/mach-sunxi/pinmux.o
  CC      spl/arch/arm/mach-sunxi/usb_phy.o
  CC      spl/arch/arm/mach-sunxi/prcm.o
  CC      spl/arch/arm/mach-sunxi/rsb.o
  CC      spl/arch/arm/mach-sunxi/clock_sun6i.o
  CC      spl/arch/arm/mach-sunxi/dram_sun8i_h3.o
  LD      spl/arch/arm/mach-sunxi/built-in.o
  CC      spl/arch/arm/cpu/armv7/cache_v7.o
  AS      spl/arch/arm/cpu/armv7/cache_v7_asm.o
  CC      spl/arch/arm/cpu/armv7/cpu.o
  CC      spl/arch/arm/cpu/armv7/cp15.o
  CC      spl/arch/arm/cpu/armv7/syslib.o
  AS      spl/arch/arm/cpu/armv7/lowlevel_init.o
  CC      spl/arch/arm/cpu/armv7/sunxi/timer.o
  AS      spl/arch/arm/cpu/armv7/sunxi/fel_utils.o
  LD      spl/arch/arm/cpu/armv7/sunxi/built-in.o
  LD      spl/arch/arm/cpu/armv7/built-in.o
  AS      spl/arch/arm/cpu/armv7/start.o
  LD      spl/arch/arm/cpu/built-in.o
  AS      spl/arch/arm/lib/vectors.o
  AS      spl/arch/arm/lib/crt0.o
  CC      spl/arch/arm/lib/spl.o
  CC      spl/arch/arm/lib/zimage.o
  CC      spl/arch/arm/lib/sections.o
  CC      spl/arch/arm/lib/stack.o
  CC      spl/arch/arm/lib/interrupts.o
  CC      spl/arch/arm/lib/reset.o
  CC      spl/arch/arm/lib/cache.o
  CC      spl/arch/arm/lib/cache-cp15.o
  CC      spl/arch/arm/lib/psci-dt.o
  LD      spl/arch/arm/lib/built-in.o
  AS      spl/arch/arm/lib/ashldi3.o
  AS      spl/arch/arm/lib/ashrdi3.o
  CC      spl/arch/arm/lib/div0.o
  AS      spl/arch/arm/lib/div64.o
  AS      spl/arch/arm/lib/lib1funcs.o
  AS      spl/arch/arm/lib/lshrdi3.o
  AS      spl/arch/arm/lib/muldi3.o
  AS      spl/arch/arm/lib/uldivmod.o
  AR      spl/arch/arm/lib/lib.a
  CC      spl/arch/arm/lib/eabi_compat.o
  AS      spl/arch/arm/lib/crt0_arm_efi.o
  CC      spl/arch/arm/lib/reloc_arm_efi.o
  CC      spl/board/sunxi/board.o
  LD      spl/board/sunxi/built-in.o
  CC      spl/common/spl/spl.o
  CC      spl/common/spl/spl_mmc.o
  LD      spl/common/spl/built-in.o
  CC      spl/common/init/board_init.o
  LD      spl/common/init/built-in.o
  CC      spl/common/env_common.o
  CC      spl/common/console.o
  CC      spl/common/dlmalloc.o
  CC      spl/common/malloc_simple.o
  CC      spl/common/image.o
  CC      spl/common/memsize.o
  CC      spl/common/stdio.o
  CC      spl/common/cli_simple.o
  CC      spl/common/cli.o
  CC      spl/common/cli_readline.o
  CC      spl/common/command.o
  CC      spl/common/s_record.o
  CC      spl/common/xyzModem.o
  LD      spl/common/built-in.o
  CC      spl/cmd/nvedit.o
  LD      spl/cmd/built-in.o
  CC      spl/lib/hashtable.o
  CC      spl/lib/errno.o
  CC      spl/lib/display_options.o
  CC      spl/lib/crc32.o
  CC      spl/lib/ctype.o
  CC      spl/lib/div64.o
  CC      spl/lib/hang.o
  CC      spl/lib/linux_compat.o
  CC      spl/lib/linux_string.o
  CC      spl/lib/membuff.o
  CC      spl/lib/slre.o
  CC      spl/lib/string.o
  CC      spl/lib/tables_csum.o
  CC      spl/lib/time.o
  CC      spl/lib/tiny-printf.o
  CC      spl/lib/panic.o
  CC      spl/lib/strto.o
  LD      spl/lib/built-in.o
  CC      spl/disk/part.o
  LD      spl/disk/built-in.o
  CC      spl/drivers/block/blk_legacy.o
  LD      spl/drivers/block/built-in.o
  CC      spl/drivers/gpio/sunxi_gpio.o
  LD      spl/drivers/gpio/built-in.o
  CC      spl/drivers/mmc/mmc_legacy.o
  CC      spl/drivers/mmc/mmc.o
  CC      spl/drivers/mmc/sunxi_mmc.o
  LD      spl/drivers/mmc/built-in.o
  LD      spl/drivers/power/built-in.o
  LD      spl/drivers/power/pmic/built-in.o
  LD      spl/drivers/power/regulator/built-in.o
  CC      spl/drivers/serial/serial.o
  CC      spl/drivers/serial/serial_ns16550.o
  CC      spl/drivers/serial/ns16550.o
  LD      spl/drivers/serial/built-in.o
  LD      spl/drivers/built-in.o
  LD      spl/dts/built-in.o
  LD      spl/fs/built-in.o
  LDS     spl/u-boot-spl.lds
  LD      spl/u-boot-spl
  OBJCOPY spl/u-boot-spl-nodtb.bin
  COPY    spl/u-boot-spl.bin
  MKSUNXI spl/sunxi-spl.bin
  OBJCOPY u-boot-nodtb.bin
  CAT     u-boot-dtb.bin
  COPY    u-boot.bin
  MKIMAGE u-boot.img
  COPY    u-boot.dtb
  BINMAN  u-boot-sunxi-with-spl.bin
  OBJCOPY u-boot.srec
  SYM     u-boot.sym
  MKIMAGE u-boot-dtb.img
./scripts/check-config.sh u-boot.cfg \
	./scripts/config_whitelist.txt . 1>&2
